Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.16354E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
17.9,2.98359,0.71267,0.00004,,,,,32939.99649,53.18230518
17.95,2.99187,0.71803,0.00002,,,,,33187.73861,53.32989567
18,3.00062,0.71481,0.00002,,,,,33038.90846,53.48586387
18.05,3.00891,0.7067,-0.00002,,,,,32664.05983,53.6336326
18.1,3.01687,0.71024,-0.00003,,,,,32827.68056,53.7755191
18.15,3.02547,0.70608,0.00002,,,,,32635.40309,53.92881357
18.2,3.03391,0.70982,0.00001,,,,,32808.26793,54.07925604
18.25,3.04187,0.7136,0,,,,,32982.98159,54.22114254
18.3,3.05031,0.71577,0.00002,,,,,33083.28018,54.37158501
18.35,3.05906,0.73281,0,,,,,33870.87828,54.52755322
18.4,3.06719,0.72527,-0.00001,,,,,33522.37537,54.67246996
18.45,3.07531,0.71438,0.00002,,,,,33019.03362,54.81720845
18.5,3.08391,0.71106,0,,,,,32865.58141,54.97050291
18.55,3.0925,0.71627,0.00001,,,,,33106.39045,55.12361912
18.6,3.10031,0.77053,0.00001,,,,,35614.31728,55.26283189
18.65,3.10859,0.72107,-0.00002,,,,,33328.24907,55.41042237
18.7,3.1175,0.72192,0.00002,,,,,33367.53654,55.56924256
18.75,3.12562,0.73312,0.00003,,,,,33885.20665,55.71398105
18.8,3.13344,0.73539,0.00001,,,,,33990.12729,55.85337206
18.85,3.14203,0.75972,0.00001,,,,,35114.67317,56.00648828
18.9,3.15094,0.76008,0,,,,,35131.31257,56.16530847
18.95,3.15875,0.72002,-0.00003,,,,,33279.7175,56.30452123
19,3.16672,0.74464,0.00001,,,,,34417.66734,56.44658598
19.05,3.17547,0.73811,0.00001,,,,,34115.84718,56.60255419
19.1,3.18391,0.77989,0.00002,,,,,36046.94159,56.75299666
19.15,3.19187,0.75868,0.00003,,,,,35066.60381,56.89488316
19.2,3.20031,0.75298,-0.00002,,,,,34803.14669,57.04532563
19.25,3.20906,0.72525,-0.00001,,,,,33521.45096,57.20129384
19.3,3.21719,0.75823,0.00002,,,,,35045.80456,57.34621058
19.35,3.22516,0.77545,0,,,,,35841.72236,57.48827533
19.4,3.23375,0.7604,0.00001,,,,,35146.10315,57.64139154
19.45,3.24234,0.73872,0.00001,,,,,34144.04171,57.79450775
19.5,3.25031,0.72461,0,,,,,33491.86981,57.93657251
19.55,3.25859,0.74468,0.00001,,,,,34419.51616,58.08416299
19.6,3.26734,0.75919,0.00001,,,,,35090.17629,58.24013119
19.65,3.27547,0.80804,0.00001,,,,,37348.04996,58.38504793
