Crosshead speed,10,mm/min,,,,,,,
Tensile strain,25.4,mm,,,,,Area,2.05629E-05,
,,,,,,,,,
Time,Extension,Load,Strain from Extensometer,,,,,,
(s),(mm),(N),(mm/mm),,,,,Stress,Strain
13.4,-8.75453,0.5128,0.00001,,,,,24938.16522,-165.5190659
13.45,-8.74656,0.51999,0,,,,,25287.82475,-165.3683797
13.5,-8.73859,0.55099,0,,,,,26795.39714,-165.2176935
13.55,-8.72969,0.51809,0.00001,,,,,25195.42515,-165.0494241
13.6,-8.72109,0.53568,0,,,,,26050.8509,-164.8868267
13.65,-8.71344,0.52339,0.00001,,,,,25453.1714,-164.7421906
13.7,-8.70516,0.52737,0.00002,,,,,25646.72424,-164.5856433
13.75,-8.69625,0.54122,0,,,,,26320.26868,-164.4171848
13.8,-8.68812,0.52722,0,,,,,25639.42953,-164.2634735
13.85,-8.68016,0.53611,0.00001,,,,,26071.76239,-164.1129764
13.9,-8.67156,0.55159,0,,,,,26824.57596,-163.950379
13.95,-8.66281,0.547,0.00001,,,,,26601.35798,-163.7849456
14,-8.65484,0.53906,0.00001,,,,,26215.22492,-163.6342593
14.05,-8.64672,0.54083,0,,,,,26301.30245,-163.4807371
14.1,-8.63797,0.55815,0.00001,,,,,27143.59773,-163.3153037
14.15,-8.62969,0.52663,0.00001,,,,,25610.73703,-163.1587564
14.2,-8.62156,0.56921,0,,,,,27681.46065,-163.0050452
14.25,-8.61313,0.5545,0.00001,,,,,26966.09324,-162.8456619
14.3,-8.60469,0.54324,0,,,,,26418.50404,-162.6860895
14.35,-8.59656,0.54772,0.00001,,,,,26636.37257,-162.5323782
14.4,-8.58828,0.5322,0.00002,,,,,25881.61374,-162.375831
14.45,-8.57953,0.60439,0.00002,,,,,29392.31216,-162.2103975
14.5,-8.57141,0.53863,-0.00002,,,,,26194.31344,-162.0568753
14.55,-8.56344,0.55149,0.00001,,,,,26819.71282,-161.9061891
14.6,-8.55484,0.65445,0.00002,,,,,31826.79841,-161.7435917
14.65,-8.54609,0.55222,-0.00002,,,,,26855.21372,-161.5781583
14.7,-8.53828,0.5547,0.00003,,,,,26975.81951,-161.4304971
14.75,-8.53031,0.56222,0.00001,,,,,27341.52739,-161.2798109
14.8,-8.52125,0.56929,-0.00001,,,,,27685.35116,-161.1085164
14.85,-8.51297,0.57699,0.00003,,,,,28059.81269,-160.9519692
14.9,-8.50516,0.58431,0,,,,,28415.7943,-160.804308
14.95,-8.49672,0.63423,0.00001,,,,,30843.47216,-160.6447357
15,-8.48766,0.58318,0.00001,,,,,28360.84086,-160.4734412
15.05,-8.47953,0.57714,-0.00003,,,,,28067.1074,-160.3197299
15.1,-8.47188,0.58757,0.00002,,,,,28574.33256,-160.1750938
15.15,-8.46328,0.57713,0.00001,,,,,28066.62108,-160.0124964
15.2,-8.45438,0.57535,-0.00002,,,,,27980.05725,-159.844227
15.25,-8.44656,0.6235,0.00003,,,,,30321.65759,-159.6963768
15.3,-8.43844,0.63076,0.00001,,,,,30674.72132,-159.5428546
15.35,-8.42969,0.59439,-0.00001,,,,,28905.99848,-159.3774212
15.4,-8.42125,0.61201,0.00002,,,,,29762.88318,-159.2178488
15.45,-8.41328,0.59162,-0.00002,,,,,28771.2896,-159.0671626
15.5,-8.405,0.60859,0.00001,,,,,29596.5639,-158.9106153
15.55,-8.39625,0.61451,0.00001,,,,,29884.4616,-158.7451819
15.6,-8.38828,0.58511,-0.00001,,,,,28454.69939,-158.5944957
15.65,-8.38,0.62627,0.00002,,,,,30456.36648,-158.4379484
15.7,-8.37141,0.62587,0,,,,,30436.91393,-158.2755401
15.75,-8.36297,0.59805,0,,,,,29083.98929,-158.1159677
15.8,-8.35516,0.62766,0.00001,,,,,30523.96408,-157.9683066
15.85,-8.34656,0.59957,0,,,,,29157.90897,-157.8057091
15.9,-8.33781,0.61252,0.00001,,,,,29787.68518,-157.6402757
15.95,-8.32984,0.61005,0,,,,,29667.5657,-157.4895895
16,-8.32188,0.6262,0,,,,,30452.96228,-157.3390924
16.05,-8.31297,0.63325,0.00002,,,,,30795.81342,-157.1706339
16.1,-8.30438,0.64651,0.00001,,,,,31440.66535,-157.0082255
16.15,-8.29688,0.63724,0,,,,,30989.85258,-156.8664255
16.2,-8.28844,0.60734,0.00001,,,,,29535.77469,-156.7068531
16.25,-8.27938,0.6337,0,,,,,30817.69754,-156.5355586
16.3,-8.27125,0.64595,0.00001,,,,,31413.43179,-156.3818473
16.35,-8.26344,0.63147,0.00001,,,,,30709.24959,-156.2341862
16.4,-8.25484,0.62478,0,,,,,30383.90574,-156.0715888
16.45,-8.24625,0.63293,0.00001,,,,,30780.25139,-155.9091804
16.5,-8.23813,0.66724,0.00001,,,,,32448.7936,-155.7556582
16.55,-8.23016,0.64525,0,,,,,31379.38983,-155.604972
16.6,-8.22141,0.64784,0.00001,,,,,31505.34507,-155.4395386
16.65,-8.21297,0.63909,-0.00001,,,,,31079.82061,-155.2799662
16.7,-8.205,0.6622,0.00002,,,,,32203.69151,-155.12928
16.75,-8.19656,0.64593,0.00001,,,,,31412.45916,-154.9697077
16.8,-8.18797,0.64781,0,,,,,31503.88613,-154.8072993
16.85,-8.17984,0.65087,0.00002,,,,,31652.69812,-154.653588
16.9,-8.17156,0.68216,0.00001,,,,,33174.3736,-154.4970408
16.95,-8.16297,0.64952,0,,,,,31587.04577,-154.3346324
17,-8.15453,0.66783,0.00001,,,,,32477.48611,-154.1750601
